"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",0.000106446267414806,0.169910459605108,8,53,477,19494,0.169910459605108
"REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION",0.000267149549943341,0.169910459605108,3,3,482,19544,0.169910459605108
"REACTOME_NGF_STIMULATED_TRANSCRIPTION",0.000323300996152521,0.169910459605108,6,33,479,19514,0.169910459605108
"REACTOME_SIGNALING_BY_NTRKS",0.000423716856870594,0.169910459605108,11,123,474,19424,0.169910459605108
"REACTOME_VITAMIN_C_ASCORBATE_METABOLISM",0.000721371344441127,0.231415927296714,3,5,482,19542,0.231415927296714
"REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA",0.00106264394933034,0.284080149120977,3,6,482,19541,0.284080149120977
"REACTOME_SMOOTH_MUSCLE_CONTRACTION",0.00211580188320422,0.437447827749063,5,33,480,19514,0.437447827749063
"REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",0.00224348146845975,0.437447827749063,7,68,478,19479,0.437447827749063
"REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING",0.00245450776168427,0.437447827749063,4,20,481,19527,0.437447827749063
"REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2",0.00336606235851576,0.539916402305928,3,10,482,19537,0.539916402305928
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",0.00420769163606791,0.613557944022994,3,11,482,19536,0.613557944022994
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.00689076736564017,0.853387711542978,15,286,470,19261,0.853387711542978
"REACTOME_GAB1_SIGNALOSOME",0.00744852117306839,0.853387711542978,3,14,482,19533,0.853387711542978
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES",0.00744852117306839,0.853387711542978,3,14,482,19533,0.853387711542978
"REACTOME_SIGNALING_BY_PTK6",0.0097287044176316,1,5,49,480,19498,1
"REACTOME_RHOJ_GTPASE_CYCLE",0.0104941438854003,1,5,50,480,19497,1
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",0.0106629193289323,1,8,116,477,19431,1
"REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING",0.0113326176803131,1,2,5,483,19542,1
"REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES",0.0122644332193975,1,6,73,479,19474,1
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",0.0138980727854941,1,8,122,477,19425,1
"REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS",0.0139157731244619,1,7,98,478,19449,1
"REACTOME_RHOQ_GTPASE_CYCLE",0.0139670185319758,1,5,54,480,19493,1
"REACTOME_RUNX3_REGULATES_WNT_SIGNALING",0.0148696997922705,1,2,6,483,19541,1
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",0.0154281371271801,1,3,19,482,19528,1
"REACTOME_BIOLOGICAL_OXIDATIONS",0.0160041827811963,1,11,204,474,19343,1
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION",0.017429627897849,1,3,20,482,19527,1
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",0.0209763102827898,1,20,482,465,19065,1
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER",0.0218464940019743,1,3,22,482,19525,1
"REACTOME_PEPTIDE_HORMONE_METABOLISM",0.0220581914624732,1,6,84,479,19463,1
"REACTOME_ELASTIC_FIBRE_FORMATION",0.0231356997008334,1,4,41,481,19506,1
"REACTOME_INTERLEUKIN_10_SIGNALING",0.0231356997008334,1,4,41,481,19506,1
"REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING",0.0231455009667858,1,2,8,483,19539,1
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",0.0244872991255177,1,12,247,473,19300,1
"REACTOME_PYRIMIDINE_SALVAGE",0.0278415577314206,1,2,9,483,19538,1
"REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS",0.0285656757394905,1,4,44,481,19503,1
"REACTOME_LYSINE_CATABOLISM",0.0328826002754583,1,2,10,483,19537,1
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",0.0350012156202485,1,7,120,478,19427,1
"REACTOME_SURFACTANT_METABOLISM",0.0353038746603504,1,3,27,482,19520,1
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",0.0381016864791681,1,10,206,475,19341,1
"REACTOME_ERKS_ARE_INACTIVATED",0.0382492435330843,1,2,11,483,19536,1
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP",0.0382492435330843,1,2,11,483,19536,1
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",0.0382492435330843,1,2,11,483,19536,1
"REACTOME_EGFR_DOWNREGULATION",0.038404840628913,1,3,28,482,19519,1
